,TestSite,Provenance,budbreak_mean_days,flowering_mean_days,year,CountyAndState,prov_lat_N,prov_long_W,Elevation_ft,comments,test_lat_N,test_long_W,NumberOfProvenances,budbreak_JD,flowering_JD,BudSet_1978_Mean,LeafFall_1978_Mean
45,RD,NY-1,96.2,137.4,1979,"Cortland, NY",43,76.08333333,1600,,39.5,79.83333,32,4/6/1979,5/17/1979,9/4/1978,10/11/1978
46,RD,OH-1,102.9,141,1979,"Wayne, OH",40.76666667,81.91666667,1100,,39.5,79.83333,32,4/12/1979,5/21/1979,9/14/1978,10/19/1978
47,RD,PA-1,99.3,139.6,1979,"Warren, PA",41.83333333,79.25,1200,,39.5,79.83333,32,4/9/1979,5/19/1979,9/14/1978,10/23/1978
48,RD,PA-2,98.4,136.5,1979,"Potter, PA",41.66666667,78,1813,elevation evaluated from USGS point query service,39.5,79.83333,32,4/8/1979,5/16/1979,9/15/1978,10/19/1978
49,RD,PA-3,102.7,137.6,1979,"McKean, PA",41.76666667,78.81666667,2095,elevation evaluated from USGS point query service,39.5,79.83333,32,4/12/1979,5/17/1979,8/27/1978,10/16/1978
50,RD,PA-4,100.5,137.4,1979,"Centre, PA",40.85,77.83333333,1400,,39.5,79.83333,32,4/10/1979,5/17/1979,9/7/1978,10/20/1978
51,RD,TN-1,100.5,137,1979,"Morgan & Scott, TN",36.25,84.5,1900,,39.5,79.83333,32,4/10/1979,5/17/1979,9/25/1978,10/16/1978
52,RD,TN-2,107.9,140,1979,"Monroe, TN",35.33333333,84.25,3800,,39.5,79.83333,32,4/17/1979,5/20/1979,8/23/1978,10/19/1978
53,RD,TX-1,94,134,1979,"Cherokee, TX",31.75,95,300,,39.5,79.83333,32,4/4/1979,5/14/1979,11/2/1978,11/4/1978
54,RD,VA-1,104.4,142.8,1979,"Russell, VA",37,82,2000,,39.5,79.83333,32,4/14/1979,5/22/1979,9/23/1978,10/21/1978
55,RD,VA-2,94,140.1,1979,"Henrico, VA",37.5,77.5,200,,39.5,79.83333,32,4/4/1979,5/20/1979,10/9/1978,10/27/1978
56,RD,VA-3,109.8,139.5,1979,"Wise, VA",37,82.5,4000,,39.5,79.83333,32,4/19/1979,5/19/1979,8/24/1978,10/18/1978
57,RD,VT-1,93.4,134.8,1979,"Chittenden, VT",44.55,72.91666667,1000,,39.5,79.83333,32,4/3/1979,5/14/1979,8/22/1978,10/10/1978
58,RD,WI-2,97.6,143.9,1979,"Forest, WI",45.58333333,88.91666667,600,,39.5,79.83333,32,4/7/1979,5/23/1979,9/14/1978,10/20/1978
59,RD,WV-1,107.1,140.3,1979,"Monongalia, WV",39.66666667,80,2300,,39.5,79.83333,32,4/17/1979,5/20/1979,9/3/1978,10/21/1978
60,RD,WV-2,103.3,148.3,1979,"Wirt & Ritchie, WV",39,81.5,500,,39.5,79.83333,32,4/13/1979,5/28/1979,9/30/1978,10/26/1978
61,RD,WV-3,103.6,137,1979,"Tucker, WV",39.08333333,79.66666667,2900,,39.5,79.83333,32,4/13/1979,5/17/1979,8/24/1978,10/15/1978
62,RD,WV-4,100.4,144.6,1979,"Greenbriar, WV",37.66666667,80.25,1700,,39.5,79.83333,32,4/10/1979,5/24/1979,9/20/1978,10/20/1978
63,RD,WV-5,101.2,142.9,1979,"Wayne, WV",38,82.33333333,650,,39.5,79.83333,32,4/11/1979,5/22/1979,9/15/1978,10/21/1978
