"","SourceNumber","StateOrProvince","Latitude_degrees","Longitude_degrees","Elevation_ft","Height_3yr_cm","Diam_3yr_mm","growthInitiation","PercentWinterDamage","ID2","Latitude","Longitude","Elevation","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","MAR","Eref","CMD","RH","CMI","DD1040","daylength_diff"
"31",2997,"Quebec",47,70.3,400,39.7,6,4,23.7,"Quebec",47,-70.3,121.92,-5.4,8.3,23.1,11.3,-15.3,-2.8,11.2,1.7,-10.4,2.7,17.1,6.5,211,196,278,246,-9999,-9999,-9999,-9999,944,193,0,69,1,198,1119,335,2544,1406,172,1054,0,5,93,8,0,24,92,36,205,78,0,25,0,152,358,105,0,28,80,0,58,61,64,68,21.05,11.52,0.73,13.62,4,18.5,-11.8,30.4,931,440,15,42.2,1206,1653,5176,106,153,144,267,123,308,-38.3,35.3,-9999,616,108,62,46.92,821,7.38782392682592
"32",2998,"Quebec",48.2,70.2,1000,36.5,5.8,4.56,17.8,"Quebec",48.2,-70.2,304.8,-8,6,21.2,8.8,-17.8,-4.8,9.6,0.3,-12.9,0.6,15.4,4.6,208,197,299,268,-9999,-9999,-9999,-9999,1168,275,0,112,0,125,959,239,2773,1602,279,1223,0,3,43,4,0,8,92,32,206,108,1,62,0,134,329,89,0,17,31,0,58,61,65,70,20.78,13.93,5.58,18.32,1.9,16.9,-14.7,31.5,972,468,12.3,36.1,1555,1323,5877,50,131,152,261,109,377,-40.8,33.5,-9999,552,48,63,58.6,590,7.73481733937698
"33",2999,"Quebec",47.4,72.6,1000,46.9,6.4,3.75,11.6,"Quebec",47.4,-72.6,304.8,-7.1,8.2,23,10.2,-19.3,-4.7,10,0.4,-13.2,1.8,16.5,5.3,212,198,305,267,-9999,-9999,-9999,-9999,1190,243,0,101,1,180,1058,284,2795,1497,209,1159,0,6,68,6,0,13,92,32,211,92,0,51,0,156,365,101,0,28,59,0,49,54,61,66,21.21,11.74,2.15,16.48,2.6,17.8,-15,32.8,982,480,12.8,37,1534,1522,5660,80,137,150,262,112,354,-41.8,35.5,-9999,622,87,58,51.58,726,7.50125750135298
"34",3000,"Quebec",47.5,75,1500,41.8,5.9,3.71,17.5,"Quebec",47.5,-75,457.2,-8.1,7.3,22,9.4,-19.8,-6,9,-0.2,-14,0.7,15.5,4.6,223,193,328,281,-9999,-9999,-9999,-9999,1263,290,0,118,1,148,966,246,2868,1597,273,1223,0,5,43,4,0,6,92,31,222,102,1,66,0,150,354,97,0,26,30,0,50,53,60,67,22.34,12.12,5.61,18.63,1.7,16.8,-15.7,32.5,1025,514,11.4,32.6,1671,1362,5961,52,129,153,259,106,391,-42.5,34.1,-9999,601,56,58,58.69,606,7.52995668279791
"35",3001,"Quebec",49.2,65.1,300,41.8,5.8,4.14,6.2,"Quebec",49.2,-65.1,91.44,-5.3,4.6,19.5,9.5,-13.5,-3.8,9.9,1.3,-9.4,0.4,14.7,5.4,244,190,232,221,-9999,-9999,-9999,-9999,861,248,0,74,0,80,897,254,2454,1619,330,1149,0,0,33,4,0,8,92,33,233,112,1,29,0,110,292,84,0,5,60,0,65,69,70,72,24.44,15.15,2.93,13.69,2.8,16.4,-10.8,27.2,887,368,14.4,44.7,1183,1230,5552,37,133,152,264,111,375,-36.4,31.6,-9999,486,65,69,56.2,530,8.04025084753835
"36",3002,"Ontario",45.1,76.9,1000,50.3,6.2,3.33,25.2,"Ontario",45.1,-76.9,304.8,-4.5,9.5,24.4,12.7,-14.6,-1.8,12,2.6,-9.6,3.8,18.2,7.6,185,186,211,217,-9999,-9999,-9999,-9999,870,164,0,48,6,249,1216,399,2471,1308,120,957,0,9,140,13,0,29,92,41,177,55,0,11,0,165,382,135,0,33,171,0,57,61,63,67,18.45,9.25,-8.87,8.82,5,19.6,-11.2,30.8,799,360,18.8,54.4,1082,1869,4855,163,162,139,271,132,243,-37.5,36.5,-9999,682,204,62,27.65,961,6.87668832687591
"37",3003,"Ontario",46.1,79,1000,46.6,6,3.5,28.5,"Ontario",46.1,-79,304.8,-5.3,9.3,23.8,11.7,-16.9,-3.9,10.2,1.3,-11.1,2.7,17,6.5,181,178,248,251,-9999,-9999,-9999,-9999,1005,205,0,71,3,209,1104,339,2610,1401,179,1054,0,7,85,8,0,17,92,34,177,65,0,25,0,168,384,113,0,41,135,0,52,54,59,65,18.07,8.46,-5.31,13.21,3.8,18.2,-12.8,31,858,412,16.1,44.2,1281,1654,5244,100,143,148,265,117,267,-39.7,35.9,-9999,664,176,58,34.43,807,7.14023269201465
"38",3004,"Ontario",46.7,79.6,1000,51.2,6.6,3.33,14.2,"Ontario",46.7,-79.6,304.8,-6.2,8.5,23.2,10.9,-17.3,-3.6,11,1.5,-11.8,2.4,17.1,6.2,170,178,249,246,-9999,-9999,-9999,-9999,1060,224,0,79,2,204,1117,326,2669,1438,172,1080,0,7,91,7,0,23,92,35,168,71,0,29,0,157,362,104,0,35,112,0,53,57,63,68,17.03,9.35,-2.96,13.83,3.5,18.4,-13.7,32.1,844,414,16,44.5,1362,1650,5360,106,150,145,267,122,268,-40.1,35.8,-9999,623,147,60,37.25,812,7.30414449170325
"39",3063,"Nova Scotia",44.1,65.8,350,44.8,6.1,3.38,23.4,"Nova Scotia",44.1,-65.8,106.68,1,8.4,19.7,13.3,-6.5,0.2,10.4,5.1,-2.7,4.3,15,9.2,383,295,255,343,-9999,-9999,-9999,-9999,352,86,0,16,11,177,925,452,1856,1264,304,811,0,0,36,11,3,29,92,60,162,42,1,3,0,137,305,129,0,0,50,0,70,71,71,73,37.37,22.44,5.37,21.88,6.5,16,-3.8,19.8,1275,448,12.9,35.8,454,1564,4235,47,184,138,280,142,208,-28.8,30.7,-9999,572,50,71,87.06,660,6.62430232987345
"40",3065,"Nova Scotia",45.4,61.8,450,38.9,5.6,3.86,10.5,"Nova Scotia",45.4,-61.8,137.16,-0.2,7.1,21.3,13.2,-9.1,-2.3,10.2,3.9,-4.7,2.4,15.8,8.6,354,281,262,355,-9999,-9999,-9999,-9999,489,148,0,22,5,117,996,417,2028,1437,255,869,0,0,59,11,2,10,92,51,222,108,1,6,0,134,336,130,0,0,74,0,64,66,66,69,35.01,22.27,2.39,22.84,5.5,17.3,-6.1,23.4,1252,448,12.4,38.5,660,1535,4589,70,155,149,273,125,336,-31.3,33,-9999,601,74,66,82.5,705,6.95453493141704
"41",3066,"New Brunswick",47.4,65.2,300,46.9,6.5,3.56,20.4,"New Brunswick",47.4,-65.2,91.44,-3.9,7.2,22.7,11.8,-13.9,-3.1,10.9,1.9,-8.9,2.1,16.8,6.8,245,202,229,259,-9999,-9999,-9999,-9999,814,193,0,55,0,144,1087,339,2409,1468,197,1025,0,3,86,8,0,17,92,35,231,94,0,19,0,137,349,120,0,18,120,0,58,63,64,67,24.45,13.93,-3.19,14.58,4.2,18.4,-10.2,28.6,934,376,15.2,49,1061,1571,5099,97,144,148,267,119,344,-36.8,35.1,-9999,605,138,63,49.77,772,7.50125750135298
"42",3067,"New Brunswick",47.5,67.4,925,46.2,6.7,4,28.1,"New Brunswick",47.5,-67.4,281.94,-6.3,7.3,22.2,10.2,-16.9,-4.6,9.4,0.1,-11.6,1.4,15.8,5.2,239,208,283,273,-9999,-9999,-9999,-9999,1042,240,0,94,0,143,997,266,2653,1531,253,1167,0,4,53,5,0,8,92,31,235,101,1,50,0,146,355,101,0,16,72,0,55,57,61,66,23.89,13.96,1.34,17.18,2.7,17.4,-13,30.4,1003,456,12.7,38.2,1376,1406,5604,61,131,153,260,107,387,-39.9,34.5,-9999,602,88,60,56.37,647,7.52995668279791
"43",3068,"New Brunswick",46,66.4,300,47.9,6.3,4,47,"New Brunswick",46,-66.4,91.44,-3.1,9.2,23.6,12.6,-13.7,-2.1,11.1,2.1,-8.4,3.5,17.4,7.4,278,228,251,286,-9999,-9999,-9999,-9999,778,147,0,46,2,207,1139,370,2367,1327,164,978,0,5,105,10,0,25,92,37,259,70,0,15,0,157,371,132,0,20,121,0,56,61,62,65,27.77,14.17,-3.14,16.2,5,18.9,-9.6,28.5,1043,417,14.4,45.2,970,1718,4835,119,154,145,268,123,345,-36.7,35.6,-9999,661,141,61,55,857,7.11334736827744
"44",3241,"Nova Scotia",46.6,60.5,100,56,6.9,3.89,19,"Nova Scotia",46.6,-60.5,30.48,0.1,6.3,21,13,-7.4,-2,11,4.7,-3.7,2.1,16,8.8,376,277,261,359,-9999,-9999,-9999,-9999,417,150,0,19,6,98,1017,431,1937,1463,244,845,0,0,71,11,3,11,92,56,195,114,1,4,0,122,318,119,0,0,64,0,70,70,69,73,37,22.74,3.77,24,5.8,17.8,-5.3,23.1,1271,445,12.5,39.9,586,1551,4490,83,162,147,276,130,314,-29,32.8,-9999,558,64,70,87.52,727,7.27651062624819
"45",3242,"Nova Scotia",44.8,65.2,650,48.5,6,3.75,32.2,"Nova Scotia",44.8,-65.2,198.12,-0.4,9,22.7,13.3,-9,-1,10.6,3.4,-4.7,4,16.6,8.3,370,272,257,340,-9999,-9999,-9999,-9999,493,112,0,25,6,194,1074,404,2035,1292,202,890,0,2,78,10,2,25,92,46,241,63,0,6,0,153,361,136,0,6,104,0,65,65,64,68,36.76,18.9,-1,20.88,6.1,18.1,-5.7,23.8,1239,441,13,41,630,1678,4420,90,165,143,272,129,311,-31.4,33.6,-9999,651,110,65,75.54,796,6.79984516816666
"46",3243,"Newfoundland",47.2,53.4,50,46,6.3,2.89,18.6,"Newfoundland",47.2,-53.4,15.24,1.1,6,17.4,11.7,-6.2,-1.6,9.1,4.2,-2.5,2.2,13.3,8,389,294,297,363,-9999,-9999,-9999,-9999,341,126,0,22,4,73,767,358,1840,1456,449,919,0,0,20,7,4,7,92,52,160,101,3,7,0,113,264,106,0,0,0,0,70,73,73,75,37.89,25.03,12.87,26.13,5.2,15.4,-3.7,19.1,1342,493,11.3,31.3,489,1201,4664,27,155,151,273,122,270,-28.4,29.6,-9999,483,0,73,101.92,463,7.44427066601219
"47",3244,"Newfoundland",48.6,58.2,400,51.9,6.5,3.57,14.3,"Newfoundland",48.6,-58.2,121.92,-2,5,18.3,10.2,-8.6,-2.9,10,3.4,-5.3,1.1,14.2,6.8,343,220,274,340,-9999,-9999,-9999,-9999,538,195,0,39,0,71,848,304,2086,1559,378,1023,0,0,28,6,2,7,92,45,237,114,2,16,0,109,268,94,0,0,13,0,72,71,74,77,34.11,18.15,9.55,25.25,4.2,15.7,-7.2,22.8,1178,459,12,34.1,771,1223,5046,34,146,151,270,120,368,-30.4,30.8,-9999,471,13,73,87.05,507,7.85512110018646
"48",3294,"Kentucky",36.9,82.9,3600,54.3,6.1,1.62,53.7,"Kentucky",36.9,-82.9,1097.28,6.2,16.9,26.1,18.1,-4.8,3.8,13.4,4.9,0.7,10.3,19.7,11.5,435,411,429,297,-9999,-9999,-9999,-9999,168,18,0,11,65,558,1354,641,1554,733,64,634,0,23,227,41,5,54,92,58,48,1,0,1,62,296,435,217,26,8,18,4,60,59,63,59,39.54,20.4,6.72,6.96,10.6,20.5,-0.2,20.7,1573,656,13.1,31.2,196,2618,2984,291,208,124,283,159,50,-27.4,35.4,-9999,1010,56,60,73.62,1386,5.06501676543951
"49",3295,"Iowa",42.4,93.1,1050,59.9,6.6,2.89,24.2,"Iowa",42.4,-93.1,320.04,-0.9,14.3,28,16.5,-11.3,2.2,15.5,3.9,-6.1,8.3,21.8,10.2,74,229,311,168,-9999,-9999,-9999,-9999,599,62,0,31,14,492,1541,590,2164,918,28,744,0,31,368,41,1,43,92,56,60,9,0,2,0,250,434,179,0,33,122,20,58,60,63,60,7.43,7.33,-5.78,-2.17,8.5,22.8,-8,30.8,783,493,23.7,46.3,693,2636,3854,440,192,123,280,157,71,-34.5,40.1,-9999,863,175,60,6.81,1535,6.21828361734679
"50",3297,"Wisconsin",44.5,90.4,1100,49.6,6.2,2.22,17.8,"Wisconsin",44.5,-90.4,335.28,-3,12.4,26.6,14.3,-14.3,-0.6,12.5,1.9,-8.7,5.9,19.5,8.1,76,214,302,201,-9999,-9999,-9999,-9999,803,117,0,58,7,361,1338,457,2392,1129,71,916,0,16,218,19,0,32,92,40,72,30,0,10,0,195,425,155,0,27,123,0,54,57,59,60,7.63,8.22,-5.53,3.97,6.2,20.6,-10.3,30.9,793,502,20.5,41.1,978,2162,4507,253,165,137,271,134,112,-37.3,38.9,-9999,776,150,57,14.3,1174,6.72397944154775
"51",3298,"Wisconsin",45.7,89,1710,42.1,5.5,3.86,17.6,"Wisconsin",45.7,-89,521.208,-4,11,24.6,12.2,-15.5,-3.1,10.9,0.9,-9.8,4,17.7,6.6,88,200,309,214,-9999,-9999,-9999,-9999,887,169,0,87,4,262,1173,361,2492,1298,139,1048,0,9,115,10,0,25,92,35,85,45,0,25,0,183,395,119,0,25,86,0,52,52,59,62,8.84,8.56,-1.47,8.31,4.6,18.8,-11.2,30.1,812,499,18,37.8,1143,1799,4978,134,152,144,266,122,155,-38.5,36.5,-9999,697,111,57,24.24,910,7.0334119529625
"52",3299,"Virginia",37.8,79.1,3000,38.6,5.4,1.62,50.6,"Virginia",37.8,-79.1,914.4,4.9,16,25.8,16.9,-4.3,4.9,15.2,6.5,0.3,10.4,20.5,11.7,283,330,402,321,-9999,-9999,-9999,-9999,181,20,0,11,59,572,1424,660,1586,728,47,618,0,28,278,44,6,59,92,62,36,1,0,1,53,271,402,190,22,1,13,0,66,64,68,67,25.11,14.85,7.77,13.07,10.7,21.3,-0.1,21.4,1336,663,15.5,32.2,211,2715,2979,350,219,118,290,173,38,-26.5,35.2,-9999,917,36,66,60.79,1481,5.23952128302812
"53",3309,"Ontario",47.5,84.8,1000,45.8,6,3.38,9.8,"Ontario",47.5,-84.8,304.8,-5.8,7.1,20.8,9.7,-16.2,-4.3,8.7,1.3,-11,1.4,14.8,5.5,235,199,249,289,-9999,-9999,-9999,-9999,995,239,0,90,1,138,903,286,2598,1530,320,1136,0,2,33,5,0,10,92,35,230,90,1,47,0,142,333,92,0,15,85,0,56,59,63,71,23.5,13.43,0.58,19.76,2.7,15.9,-12.7,28.5,972,429,13.1,37,1323,1328,5584,40,137,156,266,110,368,-39.3,33.7,-9999,567,100,62,57.27,563,7.52995668279791
"54",3311,"Ontario",45,81.4,625,52.8,7.1,3.88,20.3,"Ontario",45,-81.4,190.5,-1.8,8.7,22.4,13.1,-9.8,-0.8,12.3,5,-5.8,3.9,17.3,9,237,175,192,248,-9999,-9999,-9999,-9999,575,132,0,26,8,211,1137,471,2132,1298,164,830,0,3,104,17,1,29,92,59,174,44,0,4,0,149,338,126,0,34,146,0,67,67,69,74,23.56,9.44,-5.3,12.49,6.1,18.4,-7,25.4,853,337,18.9,54.6,733,1826,4425,124,182,138,281,143,222,-31.9,34.3,-9999,613,180,69,40.19,902,6.85096375054098
"55",3312,"Pennsylvania",41.6,78.7,1800,57.4,6.6,2.44,47.2,"Pennsylvania",41.6,-78.7,548.64,0.5,13.2,25.4,15.3,-9.6,-0.2,11,2.7,-4.5,6.5,18.2,9,229,311,306,260,-9999,-9999,-9999,-9999,477,70,0,28,17,341,1215,473,2018,1071,117,836,0,9,136,19,2,31,92,39,149,20,0,5,0,248,427,175,0,6,121,5,59,56,58,60,22.66,16.86,-3.99,8.3,7.3,19.1,-5.2,24.4,1106,510,15.6,37.5,574,2045,4041,164,163,139,270,131,174,-32.4,35.7,-9999,849,132,58,43.83,1042,6.03632272373691
