ID1,ID2,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
Wright,MI,42.36569498,-85.3579433,-9999,0.6,14.3,27.7,16.5,-8.1,2.1,14.4,5,-3.8,8.2,21.1,10.7,147,227,259,218,5.3,15.3,19.6,11.5,424,49,0,19,21,457,1478,603,1953,918,37,698,0,23,318,43,2,40,92,58,77,5,0,2,0,251,440,174,0,50,181,15,65,60,61,64,14.12,7.2,-11.01,3.3,9.1,22.1,-5.2,27.3,851,414,22.4,53.4,492,2560,3607,383,192,126,281,155,84,-30.5,38.6,12.9,865,246,63,13.61,1458
Carter,ME,44.91666667,-69.33333333,-9999,-1.8,11,25,13.6,-13.8,-1.6,11.4,1.9,-7.8,4.7,18.2,7.8,256,249,258,293,5.5,15.3,17.8,8.5,724,117,0,42,5,265,1215,396,2311,1229,121,944,0,7,141,11,0,28,92,35,233,54,0,13,0,178,402,146,0,31,144,0,51,57,60,62,25.63,14.12,-5.9,15.25,5.7,19.5,-9,28.5,1055,426,14.9,45.9,883,1882,4606,160,155,142,267,125,300,-36.8,36.7,11.8,726,175,58,49.11,970
DeHayes,VT,44.403314,-73.250928,-9999,-1.8,11.4,25.8,14.4,-11.8,0.7,14.1,4.4,-6.8,6,20,9.4,154,192,254,216,5.4,16.6,20.8,9.3,651,95,0,26,10,346,1377,505,2223,1115,62,805,0,15,247,24,1,34,92,54,130,26,0,3,0,176,392,146,0,42,139,0,59,64,65,67,15.38,8.25,-5.42,6.95,7.2,21.3,-8.1,29.4,815,404,21,52.7,772,2238,4205,286,181,130,278,148,159,-34.3,37.4,13,714,181,64,25.16,1238
DeHayes,PA,40.810561,-77.84748,-9999,2.3,15,27.3,16.8,-7.1,2.5,14.1,5,-2.4,8.8,20.7,10.9,195,252,259,228,5.9,14.8,19.2,10.6,329,37,0,15,31,474,1445,607,1830,872,44,682,0,22,294,42,3,43,92,56,75,4,0,1,0,263,442,185,0,47,183,12,63,60,61,63,18.24,8.84,-10.52,3.78,9.5,21.7,-3.4,25.1,934,429,20.9,50.6,381,2556,3428,358,194,127,281,154,80,-29.4,37.7,12.6,889,242,62,20.33,1428
